t,x,y,rad
3.36,31.61949422,-25.29559538,0.896171569
3.4,29.15424552,-28.40395244,0.798536334
3.44,24.99912578,-32.01848844,0.662991787
3.48,19.75727758,-35.4567536,0.508436815
3.52,14.51698388,-38.3414312,0.361990965
3.56,6.656544761,-40.06023602,0.164680316
3.6,-0.934129765,-40.50788509,-0.023059346
3.64,-8.340853815,-39.42540819,-0.208513218
3.68,-15.02649131,-37.44026454,-0.381715461
3.72,-20.54067783,-34.82005746,-0.533035978
3.76,-25.14718477,-31.83464672,-0.668657972
3.8,-28.31036131,-28.85485023,-0.775974223
3.84,-30.47890716,-26.50735649,-0.855089636
3.88,-31.83389961,-25.15078508,-0.902260966
3.92,-32.19577526,-24.79033353,-0.914744263
3.96,-31.65297907,-25.51012265,-0.89256498
4,-30.11715449,-27.14073329,-0.837442715
4.04,-27.31741919,-29.66539774,-0.744312929
4.08,-23.3424715,-32.74164571,-0.619430907
4.12,-18.37245111,-35.81668672,-0.474021536
4.16,-12.22823073,-38.51850514,-0.307440489
4.2,-5.271753735,-40.23917401,-0.130285459
4.24,2.140365744,-40.602877,0.052672714
4.28,9.727088831,-39.87879598,0.239275715
4.32,15.8723429,-37.9840682,0.395865992
4.36,21.56568649,-35.09054691,0.551137204
4.4,26.17228435,-31.83666743,0.688149259
4.44,29.42367005,-28.94428394,0.793714053
4.48,31.68311039,-26.59798296,0.872542629
4.52,32.85834659,-25.14679078,0.917688165
4.56,33.21979481,-24.51855715,0.93509502
4.6,32.58785055,-24.97042133,0.917095344
4.64,31.23262377,-26.41989355,0.868795928
4.68,29.06298418,-28.85576157,0.789078265
4.72,25.54098984,-31.92615368,0.674829709
4.76,21.02243567,-34.99471931,0.541027451
4.8,15.4213873,-37.62005681,0.389083136
4.84,9.637920425,-39.24557146,0.240845412
4.88,2.409498165,-40.14902277,0.059949746
4.92,-4.727835836,-39.87961687,-0.118017218
4.96,-11.23349509,-38.52271402,-0.283775958
5,-16.92622707,-36.44519244,-0.434844975
5.04,-21.804607,-33.82419194,-0.572675976
5.08,-25.5092313,-31.11293478,-0.686841826
5.12,-28.12966861,-28.85682688,-0.772738852
5.16,-29.75595778,-27.32109188,-0.82813896
5.2,-30.56910115,-26.77529731,-0.851570524
5.24,-30.38836012,-26.95928324,-0.84523119
5.28,-29.21342845,-28.04585205,-0.80589086
5.32,-27.13651122,-30.02707749,-0.734969918
5.36,-23.97410157,-32.65007812,-0.633442351
5.4,-19.45539217,-35.62966922,-0.49986625
5.44,-13.85331973,-37.98342125,-0.349773244
5.48,-7.438929472,-39.78852114,-0.184851844
5.52,-0.662440663,-40.509764,-0.01635328
5.56,6.385301205,-39.97011186,0.158433883
5.6,12.98115928,-38.51973397,0.325089271
5.64,18.76332412,-35.99271821,0.48061135
5.68,23.28127687,-32.92473665,0.615558953
5.72,26.98518089,-30.03295784,0.732091136
5.76,29.51470283,-27.50132677,0.820802366
5.8,30.96287536,-25.69828826,0.878159519
5.84,31.50411343,-24.87988803,0.902463201
5.88,31.23344969,-24.97391461,0.896422422
5.92,30.32821235,-26.14509151,0.859447095
5.96,28.52216868,-28.31401097,0.789162874
6,25.72076581,-31.11837568,0.690808743
6.04,21.74476246,-34.19101143,0.566528789
6.08,16.23373096,-36.90092323,0.414499872
6.12,11.08355669,-39.06305947,0.276504634
6.16,3.674759255,-40.14842164,0.091286871
6.2,-3.011718101,-40.15177248,-0.074877856
6.24,-9.517343704,-39.06339822,-0.239013355
6.28,-15.47945656,-37.08011481,-0.395517995
6.32,-20.1798023,-34.90885852,-0.524207192
6.36,-23.88306278,-32.55788931,-0.632976234
6.4,-26.68302197,-30.39033887,-0.720625673
6.44,-28.31075767,-28.76279797,-0.777578828
6.48,-29.03374592,-28.03815126,-0.802945062
6.52,-28.85481542,-28.2230437,-0.796569578
6.56,-27.85796869,-29.39750756,-0.758614055
6.6,-25.77972409,-31.2967148,-0.689127176
6.64,-22.52880355,-33.55376111,-0.591365645
6.68,-18.37104059,-35.99247544,-0.47200475
6.72,-13.04076395,-38.16025692,-0.329337206
6.76,-7.167572035,-39.78937352,-0.178249564
6.8,-0.392954608,-40.42260298,-0.009722115
6.84,6.20298142,-39.79869561,0.154635
6.88,12.07772639,-38.70433994,0.302514945
6.92,17.76853659,-36.52969327,0.452778166
6.96,22.28861493,-33.82750334,0.58267519
7,25.63019099,-31.2935657,0.686322941
7.04,28.1606327,-29.03544257,0.770204281
7.08,29.78574835,-27.23043352,0.830293198
7.12,30.6886379,-26.32714002,0.861857542
7.16,30.60021147,-26.32552819,0.860461324
7.2,29.69693078,-27.32147669,0.8271425
7.24,27.89028146,-29.21512787,0.762301137
7.28,25.0859115,-31.65518323,0.670221968
7.32,21.29434054,-34.27839835,0.555946758
7.36,16.41427788,-36.71977369,0.420423066
7.4,10.63139081,-38.70404609,0.26810737
7.44,4.126703387,-39.79286689,0.103348612
7.48,-2.468967746,-39.97221472,-0.061696726
7.52,-8.974388431,-39.06873632,-0.225820005
7.56,-14.93768107,-37.44279306,-0.379647304
7.6,-19.90773952,-35.27293624,-0.513891663
7.64,-23.79272451,-33.01158759,-0.624590273
7.68,-26.68398299,-30.8429378,-0.713320404
7.72,-28.40072358,-29.21686205,-0.771334365
7.76,-29.3046277,-28.40457433,-0.801097116
7.8,-29.3048121,-28.58449295,-0.797944015
7.84,-28.4011052,-29.58011898,-0.765165759
7.88,-26.23228423,-31.38774541,-0.696252628
7.92,-22.88906202,-33.6457472,-0.597456389
7.96,-18.64314402,-36.08207749,-0.476969833
8,-13.49289046,-38.2507132,-0.339165445
8.04,-7.710048324,-39.96605832,-0.190598489
8.08,-1.656491649,-40.60037115,-0.040782585
8.12,4.306582369,-40.24067331,0.106628659
8.16,10.54232933,-39.06303811,0.263634083
8.2,15.51179812,-37.16846593,0.395413924
8.24,20.21012006,-34.72793368,0.527114323
8.28,24.09475268,-32.19696673,0.642530612
8.32,26.80577522,-29.85105476,0.731795151
8.36,28.61268131,-28.22239319,0.792367812
8.4,29.51585533,-27.3199935,0.824120956
8.44,29.60599517,-27.31936268,0.825652583
8.48,28.79330257,-28.04408047,0.7986828
8.52,26.98641119,-29.66905711,0.738179037
8.56,24.27676337,-31.83846892,0.651536322
8.6,20.20970328,-34.54818545,0.529364453
8.64,15.60083362,-37.07704074,0.398332325
8.68,10.54082927,-38.88378012,0.264757633
8.72,4.034769534,-39.97119887,0.100614203
8.76,-2.199326591,-40.3348129,-0.054479878
8.8,-8.341019457,-39.7889297,-0.206666181
8.84,-13.94752329,-38.43366008,-0.348164428
8.88,-18.28196613,-36.62399792,-0.463051401
8.92,-21.89480487,-34.5475507,-0.564946048
8.96,-24.69620136,-32.74243442,-0.646303642
9,-26.59353513,-31.38673487,-0.703007368
9.04,-27.49753294,-30.66543618,-0.731080725
9.08,-27.4078279,-30.66677463,-0.729434969
9.12,-26.32430691,-31.4792021,-0.696544137
9.16,-24.33355186,-33.01512077,-0.63523905
9.2,-21.26537735,-35.09361071,-0.544862076
9.24,-17.55896464,-37.25738476,-0.440472567
9.28,-12.22701854,-38.97503192,-0.30403002
9.32,-7.257946409,-40.15137758,-0.1788566
9.36,-1.2039862,-40.51418962,-0.029712751
