质量_A,,,
t,x,y,rad
10.32,-31.60100217,-24.833203,0.904869193
10.36,-34.7354156,-21.29516635,1.02095585
10.4,-36.26224556,-18.75232669,1.093679921
10.44,-36.93718116,-17.39967423,1.130713162
10.48,-36.76340416,-17.54943383,1.125568906
10.52,-35.83941998,-18.99792407,1.083512186
10.56,-33.38148265,-21.70756099,0.994347935
10.6,-28.04354624,-25.26985923,0.837485947
10.64,-23.11701361,-29.41397794,0.666182366
10.68,-19.91055174,-33.39543022,0.537694743
10.72,-11.9531919,-36.12132444,0.319616505
10.76,-4.490387806,-37.72619965,0.11848372
10.8,3.222286524,-37.54457039,-0.085626929
10.84,10.59271313,-35.94005548,-0.286654685
10.88,16.26749439,-32.03930432,-0.469877814
10.92,21.69227446,-28.91528578,-0.64371315
10.96,26.35039795,-25.35798241,-0.80469268
11,29.65548383,-22.12172414,-0.930008153
11.04,31.26538246,-19.42156516,-1.015077182
11.08,32.45238111,-17.5642185,-1.074850208
11.12,32.96031599,-16.71426817,-1.101625466
11.16,32.87627594,-17.2203467,-1.088437503
11.2,31.60416741,-18.82545055,-1.033705509
11.24,29.31865567,-21.53905714,-0.937310969
11.28,25.92931997,-24.77047639,-0.808355951
11.32,22.96099294,-30.26118759,-0.649168436
11.36,17.36808993,-33.90943982,-0.473413686
11.4,10.9298018,-36.61861525,-0.290096255
11.44,2.800749104,-37.98216436,-0.073614864
11.48,-4.919200169,-38.13841122,0.12829124
11.52,-12.28313201,-36.54164112,0.324317079
11.56,-18.63821049,-34.07281078,0.500610584
11.6,-23.89092027,-30.69080463,0.661540815
11.64,-28.29674461,-27.12320298,0.806675018
11.68,-31.09268661,-24.0899436,0.91174289
11.72,-33.04200018,-21.79078034,0.987908597
11.76,-33.63482114,-20.60488682,1.021291779
11.8,-33.46782791,-20.5973314,1.019235667
11.84,-32.45029942,-21.95264925,0.976142986
11.88,-30.5833594,-24.31540597,0.899195425
11.92,-27.36613994,-27.53693814,0.782388703
11.96,-23.04449073,-30.96748723,0.639830265
12,-17.53627027,-34.3140605,0.472511349
12.04,-11.01348664,-36.55711207,0.292657598
12.08,-3.639825025,-37.71706999,0.096217949
12.12,3.222655694,-37.38548628,-0.085999306
12.16,9.914128314,-35.84604772,-0.269865071
12.2,16.60824429,-33.31473532,-0.462527259
12.24,21.94675716,-29.93268296,-0.632746634
12.28,26.43918022,-26.54076806,-0.783582277
12.32,29.15200725,-23.32189542,-0.896165511
12.36,30.92506327,-20.78144346,-0.979241887
12.4,31.85650509,-19.25541539,-1.027250096
12.44,32.11400235,-18.8246194,-1.040734722
12.48,32.79038789,-20.09498844,-1.021127541
12.52,31.77437447,-21.79537716,-0.969693436
12.56,29.90782965,-24.50052008,-0.884571379
12.6,23.97943812,-28.0675917,-0.70710348
12.64,21.52291793,-31.53388901,-0.598984317
12.68,14.65792876,-34.37633292,-0.403104687
12.72,8.983062493,-37.05280801,-0.237881134
12.76,1.694917522,-38.06631031,-0.044501776
12.8,-5.760356025,-37.74260117,0.15147302
12.84,-12.96117811,-36.19717966,0.343891867
12.88,-18.46864807,-33.90884815,0.498795526
12.92,-22.8746317,-31.0948075,0.634330415
12.96,-26.77002218,-28.06978052,0.761800361
13,-29.14149351,-25.67622901,0.848638494
13.04,-31.34504951,-23.06152728,0.93661147
13.08,-31.69106717,-22.21857132,0.959457637
13.12,-31.09405632,-22.55470808,0.943367695
13.16,-29.82343661,-23.91212692,0.895081046
13.2,-26.76998183,-26.87168229,0.783603834
13.24,-25.08631668,-28.56503712,0.720742862
13.28,-21.6847485,-31.45185364,0.603694321
13.32,-16.01154319,-34.33375244,0.436423618
13.36,-9.402394675,-36.36368166,0.253056759
13.4,-2.113788466,-37.54088166,0.05625421
13.44,4.83220534,-37.04812682,-0.129715134
13.48,10.84875034,-35.51935859,-0.296471278
13.52,17.2023192,-33.31647173,-0.476688501
13.56,22.11526622,-30.51588673,-0.627201498
13.6,26.26725451,-27.47037383,-0.763112069
13.64,28.8920187,-24.92519227,-0.859085738
13.68,30.58986373,-23.0588789,-0.924982576
13.72,31.43470104,-22.04666147,-0.959290674
13.76,31.52463931,-22.13784358,-0.958693285
13.8,30.75770462,-23.23988148,-0.923853863
13.84,28.89584392,-25.10405419,-0.855612484
13.88,25.8443008,-27.96996462,-0.746015399
13.92,22.02996836,-31.01695035,-0.617656005
13.96,17.54159062,-33.91277256,-0.477418941
14,13.05024887,-35.94511898,-0.348307358
14.04,5.762207469,-37.62704202,-0.151979191
14.08,-1.439412329,-37.88805206,0.037977855
14.12,-8.385623674,-37.04839099,0.222620702
14.16,-14.32081885,-35.1993454,0.386446818
14.2,-19.48441774,-32.79150078,0.536206815
14.24,-23.55286141,-30.09284801,0.664172184
14.28,-26.26339974,-27.64038218,0.759957051
14.32,-28.46639587,-25.69675792,0.836597219
14.36,-29.64966041,-24.50965292,0.88013419
14.4,-30.6695107,-23.48618459,0.917389428
14.44,-29.99840138,-24.3367103,0.889338276
14.48,-28.63697654,-25.8612278,0.836395472
14.52,-25.57914552,-28.90150233,0.7245852
14.56,-21.51828127,-31.7853926,0.59519027
14.6,-16.60461417,-34.33959446,0.450452613
14.64,-10.41994106,-36.54027696,0.277826078
14.68,-3.386774732,-37.71661002,0.089566738
14.72,2.036036703,-37.55425408,-0.05416987
14.76,10.16901559,-36.61868392,-0.270909944
14.8,16.1005384,-34.58527517,-0.435751165
14.84,21.09887677,-31.8747559,-0.584792443
14.88,25.67371294,-28.74662232,-0.729086387
14.92,28.46939664,-25.9592371,-0.831591685
14.96,27.92284973,-24.49893543,-0.850730538
15,30.01385413,-22.94663847,-0.918176643
15.04,29.06197939,-22.89539691,-0.903648113
15.08,28.55533952,-23.48275142,-0.882683967
15.12,27.11572549,-25.17980338,-0.822506785
15.16,24.82269912,-27.54008632,-0.733644399
15.2,24.65619524,-29.92337221,-0.689280892
15.24,18.93315798,-32.80584056,-0.523499672
15.28,15.50651212,-33.22968959,-0.436667058
15.32,6.805466924,-37.08106978,-0.181533005
15.36,1.441958526,-37.9745029,-0.037958442
15.4,-5.340436299,-37.72094013,0.140661014
15.44,-11.35155465,-36.19273856,0.303964128
15.48,-16.51978904,-34.15434975,0.450565302
15.52,-21.09583201,-31.63346185,0.588228927
15.56,-24.65390045,-29.24693097,0.700481722
15.6,-27.70298501,-27.21898159,0.79431348
15.64,-28.97224188,-25.86127543,0.842181353
15.68,-29.48030332,-25.36121635,0.860477872
15.72,-28.89386444,-25.84027458,0.841238946
15.76,-27.44742363,-27.1904537,0.790203721
15.8,-24.99333602,-29.25037478,0.707170515
15.84,-21.4343127,-31.78328757,0.593407014
15.88,-17.61891552,-34.00591331,0.478094995
15.92,-11.69078184,-36.19294255,0.31247396
15.96,-4.996456935,-37.63537546,0.13200488
16,1.188047195,-37.88474206,-0.031353308
16.04,7.203379369,-37.21557434,-0.191218703
16.08,13.72732796,-35.67627474,-0.367360239
16.12,19.31958294,-33.30692824,-0.525687095
