t,x,y,rad
5.4,-32.96327506,-22.71526117,-0.967543238
5.44,-34.700207,-19.61580949,-1.05642412
5.48,-35.94943485,-17.88971009,-1.109186017
5.52,-36.19591971,-17.53843322,-1.119736811
5.56,-36.03967523,-18.30701851,-1.100937017
5.6,-34.45808172,-20.47340178,-1.034820718
5.64,-31.87620467,-23.92834644,-0.926990029
5.68,-27.68036006,-27.91794468,-0.781226237
5.72,-22.46432262,-31.93748887,-0.613073061
5.76,-16.29829331,-35.28841715,-0.432728566
5.8,-9.081214194,-37.11772377,-0.239977406
5.84,-0.734842037,-37.77707696,-0.019452131
5.88,7.215890515,-36.63520932,0.19450177
5.92,13.3996027,-34.09785647,0.374484199
5.96,19.94283478,-30.54503248,0.578485794
6,23.92255563,-27.20348213,0.721406268
6.04,27.05518809,-23.67476593,0.852045886
6.08,29.06835357,-20.72468429,0.951546063
6.12,30.30686358,-18.36287338,1.026184255
6.16,30.91899914,-17.25317541,1.061960294
6.2,31.00847348,-17.34011763,1.061050383
6.24,30.55897712,-18.36735295,1.029741517
6.28,29.15392958,-20.72969924,0.952820829
6.32,27.22093138,-23.93541189,0.849645293
6.36,24.00091855,-27.63300943,0.715263468
6.4,19.24359734,-31.55508532,0.547695421
6.44,12.9486335,-35.4528566,0.350227852
6.48,5.921992626,-37.4552157,0.156830887
6.52,-1.850245916,-38.18415759,-0.04842426
6.56,-9.769222199,-37.36950315,-0.25573301
6.6,-16.97704421,-35.09970649,-0.450565409
6.64,-22.97802303,-32.01574966,-0.622593951
6.68,-27.26488746,-28.52784784,-0.762864285
6.72,-30.95650715,-25.05554237,-0.890478122
6.76,-32.78431517,-22.28989273,-0.973817707
6.8,-33.85623535,-20.21726756,-1.032608561
6.84,-34.10757425,-19.61027113,-1.049132966
6.88,-33.77960435,-20.31035995,-1.02958359
6.92,-32.53046853,-22.37687253,-0.96838042
6.96,-30.27854598,-25.23767551,-0.876063387
7,-26.331641,-28.71838024,-0.742165689
7.04,-21.6158352,-32.2103022,-0.591131522
7.08,-15.86906337,-35.1205931,-0.424442173
7.12,-8.484418005,-37.12954188,-0.224680546
7.16,-0.819890978,-37.77216583,-0.021705627
7.2,6.614699103,-36.88685474,0.177461103
7.24,13.29895514,-34.94618761,0.363679258
7.28,19.07278609,-31.55528064,0.543736985
7.32,24.07828161,-28.14440401,0.707785469
7.36,27.63884734,-24.45432031,0.846563313
7.4,30.07781523,-21.42909653,0.951883381
7.44,31.39145269,-19.40097604,1.017354063
7.48,32.08752851,-18.38729525,1.050575823
7.52,32.17611551,-18.3936591,1.051615364
7.56,31.38837463,-19.7451105,1.009415033
7.6,29.63546914,-22.35647557,0.924616266
7.64,26.50034395,-26.13836609,0.792377431
7.68,22.94344569,-29.57622698,0.659857419
7.72,17.85260166,-33.06434998,0.495147174
7.76,11.31891077,-36.11008827,0.303794634
7.8,4.468611568,-37.68411953,0.118044904
7.84,-2.702697166,-38.07840281,-0.070867525
7.88,-9.848976323,-37.10151227,-0.259509365
7.92,-16.46079394,-34.85714277,-0.441247864
7.96,-21.78261021,-31.95205157,-0.598434955
8,-25.90650079,-28.8074823,-0.732521889
8.04,-28.92413202,-25.8523418,-0.84152723
8.08,-31.0114142,-23.26214983,-0.927341376
8.12,-31.92365961,-21.87722877,-0.970131364
8.16,-32.00021879,-21.36656575,-0.982205593
8.2,-31.33237545,-22.05944568,-0.95748396
8.24,-29.74125343,-23.79175393,-0.896197176
8.28,-27.14125025,-26.22617666,-0.802647212
8.32,-23.3597633,-29.44749658,-0.670709655
8.36,-18.80921865,-32.59947878,-0.523388226
8.4,-12.29114444,-35.35191084,-0.334649697
8.44,-6.267857776,-37.16153679,-0.167114223
8.48,0.715712514,-37.70624784,0.018981453
8.52,7.806844978,-36.90212961,0.208508468
8.56,13.5514181,-35.12093303,0.368296803
8.6,19.6621442,-31.98919736,0.551193073
8.64,23.978739,-28.90824208,0.692548223
8.68,27.26652828,-26.24223706,0.804642638
8.72,29.1838849,-23.88245708,0.885084423
8.76,30.74864721,-22.20071253,0.945575891
8.8,31.09839092,-21.61269912,0.963573679
8.84,30.92164018,-21.94978572,0.953612523
8.88,29.70709897,-23.29178937,0.905975683
8.92,28.46933206,-25.4013713,0.842396375
8.96,25.01461608,-28.24743267,0.724870075
9,21.63884854,-31.08721365,0.608161741
9.04,16.1235545,-34.2293669,0.440273127
9.08,9.942986862,-36.67920952,0.264752166
9.12,2.846137337,-37.83580919,0.075091707
9.16,-4.230312739,-37.7075623,-0.111734728
9.2,-11.02347448,-36.06078787,-0.29670856
9.24,-17.12358872,-33.736825,-0.469741167
9.28,-21.17162996,-31.10704166,-0.597668211
9.32,-24.95936127,-28.30939961,-0.72268521
9.36,-27.72807848,-25.70569466,-0.823335267
9.4,-29.57067531,-23.79641726,-0.893293539
9.44,-30.49152506,-22.75625281,-0.92977896
9.48,-30.57398196,-22.67136064,-0.9328625
9.52,-29.7426586,-23.79391429,-0.896175928
9.56,-27.90178123,-25.78900847,-0.824835556
9.6,-25.2174229,-28.47645988,-0.724869896
9.64,-21.43151203,-31.35962883,-0.59958309
9.68,-16.53569232,-34.25723588,-0.44976386
9.72,-10.18087866,-36.50125814,-0.272040879
