t,x,y,rad
7.92,-32.21163889,-25.02102992,-0.910499523
7.96,-32.13027513,-25.19945983,-0.905825644
8,-31.04796283,-26.75430414,-0.85965528
8.04,-29.02417379,-28.49706801,-0.794664604
8.08,-25.50823529,-31.4390941,-0.681714263
8.12,-21.45709859,-34.60207946,-0.555147217
8.16,-15.67387387,-36.70890288,-0.4035967
8.2,-9.355450954,-39.03668558,-0.235252008
8.24,-2.05160785,-39.76243228,-0.051557609
8.28,4.820573944,-39.32453137,0.121991667
8.32,10.47142273,-37.80685604,0.270233235
8.36,16.218716,-35.5680709,0.427880236
8.4,21.26991911,-32.62557086,0.577812814
8.44,25.89992311,-27.83382885,0.749520342
8.48,28.2237628,-24.71788673,0.851633539
8.52,29.9166755,-23.04043408,0.914639793
8.56,30.62742342,-22.34451109,0.940628296
8.6,30.45104333,-22.59997933,0.932443447
8.64,29.72958611,-23.751722,0.896827231
8.68,26.62131252,-26.34686983,0.7906819
8.72,24.13241826,-28.6098051,0.700800183
8.76,20.3163536,-31.29631778,0.57585995
8.8,15.61891869,-34.05965554,0.430018019
8.84,10.38656653,-37.52204546,0.270085395
8.88,1.828325104,-39.1104712,0.046719762
8.92,-3.280144884,-39.36973057,-0.08313521
8.96,-10.48048582,-38.06668989,-0.268697663
9,-15.74738799,-36.2683247,-0.409682975
9.04,-22.84185834,-32.83155877,-0.607932393
9.08,-26.59223079,-29.81208641,-0.728469225
9.12,-29.64796578,-27.47246137,-0.823572813
9.16,-31.47512146,-25.52479132,-0.889528654
9.2,-32.34520863,-24.62380173,-0.920233514
9.24,-32.34631672,-24.63336224,-0.920062904
9.28,-31.39084894,-25.69371656,-0.884985135
9.32,-29.56130644,-27.57440467,-0.820265629
9.36,-26.2466381,-30.42669639,-0.711866712
9.4,-19.4268597,-34.63633545,-0.511224963
9.44,-14.0830153,-36.99559788,-0.363777165
9.48,-8.291448207,-38.81198142,-0.210494711
9.52,-1.698236976,-39.59880762,-0.042865358
9.56,5.174307301,-39.13183948,0.131481954
9.6,9.41381319,-37.94675302,0.24320189
9.64,16.04472757,-35.38416105,0.425769278
9.68,20.57923167,-31.29750209,0.581730066
9.72,23.42099402,-28.94888127,0.680321072
9.76,27.14742904,-26.35854019,0.800244784
9.8,27.68473571,-25.65135016,0.823610498
9.84,27.41122212,-25.81953829,0.815396549
9.88,27.24431017,-25.81262981,0.812480799
9.92,26.44231388,-26.69825464,0.780683116
9.96,24.75525769,-28.27592776,0.719200009
10,21.91217874,-30.24970192,0.626980792
10.04,20.226604,-31.47417556,0.571258775
10.08,16.06260642,-33.71156262,0.444706102
10.12,10.9205015,-37.00018889,0.287035956
10.16,3.767178785,-39.03321028,0.096226625
10.2,-1.870962923,-39.42632749,-0.047425234
10.24,-9.074810938,-38.35601228,-0.232352337
10.28,-15.39445725,-36.26831805,-0.401465385
10.32,-18.89935236,-34.82335973,-0.497301668
10.36,-22.92475882,-32.48725763,-0.614590111
10.4,-28.16539769,-28.55762931,-0.778584357
10.44,-31.12183657,-26.59818664,-0.863722552
10.48,-31.38944713,-25.70015423,-0.884840433
10.52,-31.56685698,-25.69506764,-0.887698736
10.56,-30.78404135,-26.58601892,-0.858553732
10.6,-28.7752815,-28.20245313,-0.795554512
10.64,-25.80955565,-30.69725861,-0.699205984
10.68,-19.25048994,-34.64154848,-0.507278643
10.72,-14.16886332,-36.80040917,-0.367573199
10.76,-8.992347599,-38.4517047,-0.229761923
10.8,-3.716605469,-39.21868546,-0.094496275
10.84,2.535049254,-39.12136786,0.064717527
10.88,8.442163735,-38.09854874,0.218092326
10.92,14.33561459,-35.85719885,0.380381018
10.96,19.25253143,-31.90095759,0.543066437
11,23.50397566,-29.66033727,0.670199761
11.04,23.90892602,-29.1221118,0.687497708
11.08,25.46506048,-27.57757573,0.745689137
11.12,27.42623761,-25.65538142,0.818852961
11.16,27.58866861,-25.48387942,0.825143085
11.2,26.88310101,-26.33416657,0.79581594
11.24,25.19770574,-28.07852214,0.7314724
11.28,23.1476219,-29.82934406,0.660021156
11.32,20.04970702,-31.5645035,0.565972441
11.36,15.70846572,-33.88373306,0.434161441
11.4,10.9169392,-37.26543425,0.285014119
11.44,4.294596038,-39.04253227,0.109571644
11.48,-3.361188073,-39.04912731,-0.085875375
11.52,-8.551836619,-38.45996957,-0.218825578
11.56,-13.46528968,-36.99140837,-0.349147354
11.6,-17.50000807,-35.4562139,-0.458547221
11.64,-23.6224353,-31.95206606,-0.636705933
11.68,-26.76394509,-29.36715598,-0.739149863
11.72,-28.76944059,-27.67176276,-0.804948235
11.76,-30.07953658,-26.59932949,-0.846833159
11.8,-30.07765432,-26.50692769,-0.84852884
11.84,-29.38193025,-27.31093604,-0.822018565
11.88,-26.93501314,-28.83562254,-0.751429733
11.92,-22.48528932,-32.58248087,-0.604131524
11.96,-19.07503307,-34.64419122,-0.503367708
12,-15.21967886,-36.18502021,-0.398195627
12.04,-9.781328624,-37.92029692,-0.252474398
12.08,-3.980151043,-39.03170616,-0.101634172
12.12,4.471468995,-38.95775507,0.114292123
12.16,9.678930632,-37.77443627,0.250865739
12.2,14.33324218,-36.07222709,0.378267479
12.24,18.71608891,-32.2513563,0.525890967
12.28,22.96716124,-30.1721851,0.650716993
12.32,25.4523551,-28.43738209,0.73015799
12.36,27.05748846,-26.89507284,0.788510722
12.4,27.94418657,-26.00456914,0.82144214
12.44,27.95232342,-25.84862802,0.824586611
12.48,27.23554391,-26.61122466,0.797095352
12.52,25.81142702,-28.01531858,0.744573379
12.56,22.0910709,-30.1650768,0.632184072
12.6,19.33858934,-31.9916232,0.543784314
12.64,15.34412709,-35.02419188,0.412968162
12.68,10.38442253,-37.77390072,0.26831731
12.72,4.206139112,-39.11365827,0.10713855
12.76,-2.224361725,-39.42141732,-0.05637275
12.8,-7.674589465,-38.64957972,-0.196044165
12.84,-12.93963373,-37.17592782,-0.334993246
12.88,-17.32296119,-35.54458709,-0.453542264
12.92,-21.61085221,-33.12158249,-0.578184881
12.96,-26.50494662,-29.89739729,-0.72541725
13,-27.98564206,-28.38140078,-0.778478104
13.04,-29.29635972,-27.48962515,-0.817309952
13.08,-29.29672074,-27.48704423,-0.817362959
13.12,-28.24872304,-28.29423773,-0.784694938
13.16,-26.24102169,-29.89744622,-0.720451188
13.2,-23.44700808,-32.04517728,-0.631758665
13.24,-17.49773449,-35.36532599,-0.459515167
13.28,-12.2373735,-37.19237847,-0.317912939
13.32,-6.969809418,-38.65836343,-0.178399283
13.36,-1.078643943,-39.23727732,-0.027486927
13.4,4.6495903,-38.86810333,0.119074504
13.44,10.20994676,-37.51971292,0.265723228
13.48,14.90473412,-34.93162448,0.403347684
13.52,18.63034686,-32.423407,0.521597929
13.56,21.55707173,-30.70195969,0.612240088
13.6,25.09649236,-28.60779393,0.720202314
13.64,26.52299179,-27.31232586,0.770837137
13.68,27.23435363,-26.61387027,0.797023803
13.72,27.23986207,-26.64204957,0.796595848
13.76,26.34770613,-27.21663104,0.76927724
13.8,23.68948765,-28.86504866,0.687323979
13.84,21.20751301,-30.51734527,0.607395998
13.88,18.88641023,-33.12580498,0.518242831
13.92,14.44873793,-36.33550906,0.378526113
13.96,8.351044918,-38.46497005,0.213817675
14,3.588000047,-39.28499458,0.091091702
14.04,-1.873896274,-39.56730136,-0.047330494
14.08,-8.72776327,-38.45122019,-0.223229779
14.12,-15.04167378,-36.27475066,-0.39313071
14.16,-19.51042693,-34.28510836,-0.517428991
14.2,-22.92152741,-32.1391623,-0.619607988
14.24,-25.80378287,-30.17040132,-0.70763629
14.28,-27.28585541,-28.74692996,-0.759427176
14.32,-27.98115462,-28.03629089,-0.784515603
14.36,-27.807319,-28.20892383,-0.778329758
14.4,-26.84982458,-29.1940126,-0.74369119
14.44,-24.92878153,-30.79575531,-0.680587575
14.48,-21.78303566,-32.85125796,-0.585591831
14.52,-15.65539104,-35.91459436,-0.411125135
14.56,-9.95005416,-37.73990548,-0.257815535
14.6,-5.032772979,-38.84282496,-0.128866508
14.64,0.416817954,-39.25603701,0.01061891
14.68,5.884715242,-38.63852139,0.151159902
14.72,10.91747462,-37.26737952,0.285013267
14.76,15.4340114,-34.8491866,0.416971325
14.8,18.98484892,-32.16520181,0.533273422
14.84,21.64841033,-30.34643874,0.619726958
14.88,23.60142699,-28.78068579,0.686932981
14.92,24.84575363,-27.73871351,0.730532795
14.96,25.37636488,-27.20163681,0.75079393
15,25.11848983,-27.38959813,0.742268795
15.04,24.13833343,-28.07835547,0.710177723
15.08,22.88995859,-29.38660368,0.661843349
15.12,20.57170814,-32.00100593,0.571403443
15.16,16.39724429,-35.38813672,0.433959938
15.2,12.3241111,-37.45594131,0.317913367
15.24,7.554432525,-38.81500186,0.192248472
15.28,2.003048069,-39.46476823,0.050718408
15.32,-4.862233384,-39.19411193,-0.123440625
15.36,-9.517504255,-38.26979411,-0.243781602
15.4,-13.90428372,-36.72811511,-0.361946665
15.44,-17.75973712,-35.1855574,-0.467497076
15.48,-21.43551411,-33.20848047,-0.573267686
15.52,-25.45327712,-30.26189049,-0.699395103
15.56,-26.32128644,-29.19332389,-0.733804576
15.6,-27.28501042,-28.74432324,-0.759456996
15.64,-26.84974418,-29.10205243,-0.745262065
15.68,-25.53898708,-30.08416923,-0.703956727
15.72,-23.35521026,-31.68883249,-0.635222473
15.76,-17.32081486,-35.1057375,-0.458404956
15.8,-15.24263118,-36.60613358,-0.394611248
15.84,-10.2084467,-38.3821112,-0.259984514
15.88,-4.842230215,-39.30153445,-0.122605238
15.92,0.531103504,-39.57587297,0.013420815
15.96,7.493044477,-38.94363835,0.190109092
16,11.73524372,-37.58568561,0.302674841
16.04,16.51245269,-35.35267781,0.437021414
16.08,19.97691601,-32.57099436,0.550237997
16.12,22.90172994,-30.75573478,0.640140255
16.16,23.79977988,-29.26730171,0.682818563
16.2,24.95259843,-28.39906061,0.7209823
16.24,25.13257261,-28.04919927,0.73070518
16.28,24.77638385,-28.57235172,0.714456658
16.32,23.96700307,-29.97409951,0.67457861
16.36,20.50018893,-33.01774477,0.555706052
16.4,17.65925599,-35.1878032,0.465192657
16.44,13.67760861,-37.05968852,0.353607249
16.48,11.90357892,-38.11445858,0.302752265
16.52,6.759210974,-39.20609263,0.17074595
16.56,-1.683515343,-39.57023485,-0.042524864
16.6,-9.845226961,-38.84516994,-0.248253294
16.64,-10.72874765,-38.74689676,-0.270160366
16.68,-14.86472501,-37.29297243,-0.379342206
16.72,-19.66544494,-34.95047294,-0.512582053
16.76,-21.23759001,-33.8756145,-0.560057548
16.8,-23.94394239,-31.90500081,-0.643889257
16.84,-24.81835129,-31.0267991,-0.674767733
16.88,-24.81382214,-30.84864379,-0.677489675
16.92,-24.11274483,-31.37772002,-0.655300615
16.96,-22.54213254,-32.45776477,-0.607108319
17,-20.26593967,-33.89186801,-0.538987121
17.04,-16.94647071,-35.67740702,-0.443499028
17.08,-13.96433374,-36.7724547,-0.362975454
