LR(V/Vr),,,
freq,V1,V2,phase
150,1.85,1.69,5
300,1.85,1.69,9
600,1.85,1.65,16
1000,1.85,1.57,25
2000,1.85,1.29,43
4000,1.85,0.88,62
8000,1.85,0.56,76
10000,1.85,0.48,80
15000,1.85,0.34,90
20000,1.85,0.3,95
25000,1.85,0.28,95
