floor,value,dif,date
0,687.1,,3.22
1,674.9,12.2,3.22
2,656.1,18.8,3.22
3,642.3,13.8,3.22
4,630.5,11.8,3.22
5,618.4,12.1,3.22
6,607.7,10.7,3.22
7,596,11.7,3.22
8,584.9,11.1,3.22
9,573.3,11.6,3.22
10,560.5,12.8,3.22
11,547.2,13.3,3.22
12,537.7,9.5,3.22
13,528,9.7,3.22
14,515.9,12.1,3.22
