floor,value,dif,date
0,674.1,,3.15
1,657.1,17,3.15
2,641.3,15.8,3.15
3,631.4,9.9,3.15
4,617.5,13.9,3.15
5,606.8,10.7,3.15
6,594.2,12.6,3.15
7,585,9.2,3.15
8,571.3,13.7,3.15
9,558.9,12.4,3.15
10,546.8,12.1,3.15
11,537.5,9.3,3.15
12,525.5,12,3.15
13,513.1,12.4,3.15
14,499.4,13.7,3.15
